hue_a	hue_b	value	chroma	nice_name	munsell_name	sortable_name	n_r	n_g	n_b	s_r	s_g	s_b	hexval
10	G	8	1	Light Greenish Gray	10G 8/1	10G8/1	0.7373	0.7961	0.7765	188	203	198	BCCBC6
10	GY	2.5	1	Greenish Black	10GY 2.5/1	10GY2.5/1	0.2157	0.2431	0.2196	55	62	56	3.73E+40
10	GY	3	1	Very Dark Greenish Gray	10GY 3/1	10GY3/1	0.2588	0.2863	0.2627	66	73	67	424943
10	GY	4	1	Dark Greenish Gray	10GY 4/1	10GY4/1	0.3529	0.3843	0.3529	90	98	90	5A625A
10	GY	5	1	Greenish Gray	10GY 5/1	10GY5/1	0.451	0.4863	0.451	115	124	115	737C73
10	GY	6	1	Greenish Gray	10GY 6/1	10GY6/1	0.549	0.5882	0.549	140	150	140	8C968C
10	GY	7	1	Light Greenish Gray	10GY 7/1	10GY7/1	0.651	0.6902	0.6471	166	176	165	A6B0A5
10	GY	8	1	Light Greenish Gray	10GY 8/1	10GY8/1	0.7529	0.7961	0.749	192	203	191	C0CBBF
10	R	2.5	1	Reddish Black	10R 2.5/1	10R2.5/1	0.2745	0.2235	0.2157	70	57	55	463937
10	R	2.5	2	Very Dusky Red	10R 2.5/2	10R2.5/2	0.302	0.2118	0.2	77	54	51	4D3633
10	R	3	1	Dark Reddish Gray	10R 3/1	10R3/1	0.3216	0.2706	0.2588	82	69	66	524542
10	R	3	2	Dusky Red	10R 3/2	10R3/2	0.3529	0.2588	0.2392	90	66	61	5A423D
10	R	3	3	Dusky Red	10R 3/3	10R3/3	0.3804	0.2471	0.2196	97	63	56	613F38
10	R	3	4	Dusky Red	10R 3/4	10R3/4	0.4078	0.2353	0.2	104	60	51	683C33
10	R	3	6	Dark Red	10R 3/6	10R3/6	0.451	0.2078	0.1608	115	53	41	733529
10	R	4	1	Dark Reddish Gray	10R 4/1	10R4/1	0.4157	0.3647	0.3569	106	93	91	6A5D5B
10	R	4	2	Weak Red	10R 4/2	10R4/2	0.451	0.3569	0.3333	115	91	85	735B55
10	R	4	3	Weak Red	10R 4/3	10R4/3	0.4824	0.3451	0.3098	123	88	79	7B584F
10	R	4	4	Weak Red	10R 4/4	10R4/4	0.5098	0.3333	0.2902	130	85	74	82554A
10	R	4	6	Red	10R 4/6	10R4/6	0.5569	0.3098	0.2431	142	79	62	8E4F3E
10	R	4	8	Red	10R 4/8	10R4/8	0.6039	0.2824	0.1961	154	72	50	9A4832
10	R	5	1	Reddish Gray	10R 5/1	10R5/1	0.5137	0.4667	0.4549	131	119	116	837774
10	R	5	2	Weak Red	10R 5/2	10R5/2	0.5451	0.4588	0.4353	139	117	111	8B756F
10	R	5	3	Weak Red	10R 5/3	10R5/3	0.5804	0.4471	0.4118	148	114	105	947269
10	R	5	4	Weak Red	10R 5/4	10R5/4	0.6078	0.4353	0.3843	155	111	98	9B6F62
10	R	5	6	Red	10R 5/6	10R5/6	0.6627	0.4118	0.3333	169	105	85	A96955
10	R	5	8	Red	10R 5/8	10R5/8	0.7137	0.3843	0.2824	182	98	72	B66248
10	R	6	1	Reddish Gray	10R 6/1	10R6/1	0.6157	0.5686	0.5569	157	145	142	9D918E
10	R	6	2	Pale Red	10R 6/2	10R6/2	0.6471	0.5569	0.5333	165	142	136	A58E88
10	R	6	3	Pale Red	10R 6/3	10R6/3	0.6824	0.549	0.5098	174	140	130	AE8C82
10	R	6	4	Pale Red	10R 6/4	10R6/4	0.7137	0.5373	0.4824	182	137	123	B6897B
10	R	6	6	Light Red	10R 6/6	10R6/6	0.7686	0.5176	0.4353	196	132	111	C4846F
10	R	6	8	Light Red	10R 6/8	10R6/8	0.8196	0.4902	0.3843	209	125	98	D17D62
10	R	7	1	Light Gray	10R 7/1	10R7/1	0.7137	0.6706	0.6588	182	171	168	B6ABA8
10	R	7	2	Pale Red	10R 7/2	10R7/2	0.749	0.6627	0.6353	191	169	162	BFA9A2
10	R	7	3	Pale Red	10R 7/3	10R7/3	0.7843	0.651	0.6118	200	166	156	C8A69C
10	R	7	4	Pale Red	10R 7/4	10R7/4	0.8157	0.6392	0.5843	208	163	149	D0A395
10	R	7	6	Light Red	10R 7/6	10R7/6	0.8784	0.6196	0.5333	224	158	136	E09E88
10	R	7	8	Light Red	10R 7/8	10R7/8	0.9373	0.5922	0.4745	239	151	121	EF9779
10	R	8	1	White	10R 8/1	10R8/1	0.8157	0.7765	0.7647	208	198	195	D0C6C3
10	R	8	2	Pinkish White	10R 8/2	10R8/2	0.8431	0.7686	0.7451	215	196	190	D7C4BE
10	R	8	3	Pink	10R 8/3	10R8/3	0.8863	0.7569	0.7137	226	193	182	E2C1B6
10	R	8	4	Pink	10R 8/4	10R8/4	0.9255	0.7451	0.6824	236	190	174	ECBEAE
10	Y	2.5	1	Greenish Black	10Y 2.5/1	10Y2.5/1	0.2392	0.2353	0.2	61	60	51	3D3C33
10	Y	3	1	Very Dark Greenish Gray	10Y 3/1	10Y3/1	0.2863	0.2824	0.2431	73	72	62	49483E
10	Y	3	2	Very Dark Grayish Olive	10Y 3/2	10Y3/2	0.2902	0.2863	0.2039	74	73	52	4A4934
10	Y	3	4	Dark Olive	10Y 3/4	10Y3/4	0.2941	0.2863	0.1137	75	73	29	4B491D
10	Y	4	1	Dark Greenish Gray	10Y 4/1	10Y4/1	0.3804	0.3804	0.3333	97	97	85	616155
10	Y	4	2	Dark Grayish Olive	10Y 4/2	10Y4/2	0.3843	0.3804	0.2863	98	97	73	626149
10	Y	4	4	Olive	10Y 4/4	10Y4/4	0.3922	0.3843	0.1882	100	98	48	646230
10	Y	5	1	Greenish Gray	10Y 5/1	10Y5/1	0.4824	0.4784	0.4314	123	122	110	7B7A6E
10	Y	5	2	Grayish Olive	10Y 5/2	10Y5/2	0.4863	0.4824	0.3843	124	123	98	7C7B62
10	Y	5	4	Light Olive	10Y 5/4	10Y5/4	0.4941	0.4863	0.2824	126	124	72	7E7C48
10	Y	6	1	Greenish Gray	10Y 6/1	10Y6/1	0.5843	0.5804	0.5255	149	148	134	959486
10	Y	6	2	Light Grayish Olive	10Y 6/2	10Y6/2	0.5882	0.5843	0.4745	150	149	121	969579
10	Y	6	4	Pale Olive	10Y 6/4	10Y6/4	0.6	0.5882	0.3765	153	150	96	999660
10	Y	7	1	Light Greenish Gray	10Y 7/1	10Y7/1	0.6863	0.6824	0.6275	175	174	160	AFAEA0
10	Y	8	1	Light Greenish Gray	10Y 8/1	10Y8/1	0.7922	0.7882	0.7255	202	201	185	CAC9B9
10	YR	2	1	Black	10YR 2/1	10YR2/1	0.2157	0.1882	0.1608	55	48	41	373029
10	YR	2	2	Very Dark Brown	10YR 2/2	10YR2/2	0.2353	0.1804	0.1294	60	46	33	3C2E21
10	YR	3	1	Very Dark Gray	10YR 3/1	10YR3/1	0.3098	0.2745	0.2431	79	70	62	4F463E
10	YR	3	2	Very Dark Grayish Brown	10YR 3/2	10YR3/2	0.3294	0.2706	0.2078	84	69	53	544535
10	YR	3	3	Dark Brown	10YR 3/3	10YR3/3	0.349	0.2667	0.1725	89	68	44	59442C
10	YR	3	4	Dark Yellowish Brown	10YR 3/4	10YR3/4	0.3647	0.2627	0.1333	93	67	34	5D4322
10	YR	3	6	Dark Yellowish Brown	10YR 3/6	10YR3/6	0.3882	0.251	0.0314	99	64	8	634008
10	YR	4	1	Dark Gray	10YR 4/1	10YR4/1	0.4078	0.3725	0.3373	104	95	86	685F56
10	YR	4	2	Dark Grayish Brown	10YR 4/2	10YR4/2	0.4314	0.3647	0.2941	110	93	75	6E5D4B
10	YR	4	3	Brown	10YR 4/3	10YR4/3	0.451	0.3608	0.2549	115	92	65	735C41
10	YR	4	4	Dark Yellowish Brown	10YR 4/4	10YR4/4	0.4706	0.3569	0.2118	120	91	54	785B36
10	YR	4	6	Dark Yellowish Brown	10YR 4/6	10YR4/6	0.498	0.349	0.1294	127	89	33	7F5921
10	YR	5	1	Gray	10YR 5/1	10YR5/1	0.5059	0.4706	0.4353	129	120	111	81786F
10	YR	5	2	Grayish Brown	10YR 5/2	10YR5/2	0.5294	0.4667	0.3922	135	119	100	877764
10	YR	5	3	Brown	10YR 5/3	10YR5/3	0.5529	0.4627	0.3529	141	118	90	8D765A
10	YR	5	4	Yellowish Brown	10YR 5/4	10YR5/4	0.5725	0.4549	0.3098	146	116	79	92744F
10	YR	5	6	Yellowish Brown	10YR 5/6	10YR5/6	0.6078	0.4471	0.2157	155	114	55	9B7237
10	YR	5	8	Yellowish Brown	10YR 5/8	10YR5/8	0.6353	0.4392	0.1059	162	112	27	A2701B
10	YR	6	1	Gray	10YR 6/1	10YR6/1	0.6078	0.5725	0.5333	155	146	136	9B9288
10	YR	6	2	Light Brownish Gray	10YR 6/2	10YR6/2	0.6314	0.5686	0.4902	161	145	125	A1917D
10	YR	6	3	Pale Brown	10YR 6/3	10YR6/3	0.6549	0.5647	0.4471	167	144	114	A79072
10	YR	6	4	Light Yellowish Brown	10YR 6/4	10YR6/4	0.6745	0.5608	0.4039	172	143	103	AC8F67
10	YR	6	6	Brownish Yellow	10YR 6/6	10YR6/6	0.7137	0.549	0.3137	182	140	80	B68C50
10	YR	6	8	Brownish Yellow	10YR 6/8	10YR6/8	0.7451	0.5412	0.2118	190	138	54	BE8A36
10	YR	7	1	Light Gray	10YR 7/1	10YR7/1	0.7098	0.6745	0.6353	181	172	162	B5ACA2
10	YR	7	2	Light Gray	10YR 7/2	10YR7/2	0.7373	0.6706	0.5882	188	171	150	BCAB96
10	YR	7	3	Very Pale Brown	10YR 7/3	10YR7/3	0.7608	0.6667	0.5451	194	170	139	C2AA8B
10	YR	7	4	Very Pale Brown	10YR 7/4	10YR7/4	0.7804	0.6627	0.498	199	169	127	C7A97F
10	YR	7	6	Yellow	10YR 7/6	10YR7/6	0.8196	0.6549	0.4078	209	167	104	D1A768
10	YR	7	8	Yellow	10YR 7/8	10YR7/8	0.851	0.6431	0.3137	217	164	80	D9A450
10	YR	8.5	1	White	10YR 8.5/1	10YR8.5/1	0.8667	0.8314	0.7843	221	212	200	DDD4C8
10	YR	8.5	2	Very Pale Brown	10YR 8.5/2	10YR8.5/2	0.8941	0.8275	0.7333	228	211	187	E4D3BB
10	YR	8	1	White	10YR 8/1	10YR8/1	0.8118	0.7804	0.7373	207	199	188	CFC7BC
10	YR	8	2	Very Pale Brown	10YR 8/2	10YR8/2	0.8392	0.7765	0.6863	214	198	175	D6C6AF
10	YR	8	3	Very Pale Brown	10YR 8/3	10YR8/3	0.8627	0.7725	0.6431	220	197	164	DCC5A4
10	YR	8	4	Very Pale Brown	10YR 8/4	10YR8/4	0.8863	0.7686	0.5961	226	196	152	E2C498
10	YR	8	6	Yellow	10YR 8/6	10YR8/6	0.9255	0.7569	0.5059	236	193	129	ECC181
10	YR	8	8	Yellow	10YR 8/8	10YR8/8	0.9608	0.749	0.4078	245	191	104	F5BF68
10	YR	9.5	1	White	10YR 9.5/1	10YR9.5/1	0.9765	0.9412	0.8902	249	240	227	F9F0E3
10	YR	9.5	2	Pale Orange Yellow	10YR 9.5/2	10YR9.5/2	1	0.9373	0.8314	255	239	212	FFEFD4
10	YR	9	1	White	10YR 9/1	10YR9/1	0.9216	0.8863	0.8353	235	226	213	EBE2D5
10	YR	9	2	Pale Orange Yellow	10YR 9/2	10YR9/2	0.9451	0.8824	0.7843	241	225	200	F1E1C8
