hue_a	hue_b	value	chroma	nice_name	munsell_name	sortable_name	n_r	n_g	n_b	s_r	s_g	s_b	hexval
5	R	7	2	Pale Red	5R 7/2	05R7/2	0.7451	0.6627	0.6549	190	169	167	BEA9A7
5	R	7	3	Pale Red	5R 7/3	05R7/3	0.7765	0.651	0.6392	198	166	163	C6A6A3
5	R	7	4	Pale Red	5R 7/4	05R7/4	0.8118	0.6392	0.6235	207	163	159	CFA39F
5	R	7	6	Light Red	5R 7/6	05R7/6	0.8745	0.6157	0.5961	223	157	152	DF9D98
5	R	7	8	Light Red	5R 7/8	05R7/8	0.9333	0.5843	0.5647	238	149	144	EE9590
5	R	8	1	White	5R 8/1	05R8/1	0.8118	0.7765	0.7725	207	198	197	CFC6C5
5	R	8	2	Light Pink	5R 8/2	05R8/2	0.8392	0.7686	0.7608	214	196	194	D6C4C2
5	R	8	3	Light Pink	5R 8/3	05R8/3	0.8784	0.7569	0.7451	224	193	190	E0C1BE
5	R	8	4	Light Pink	5R 8/4	05R8/4	0.9176	0.7412	0.7255	234	189	185	EABDB9
5	Y	2.5	1	Black	5Y 2.5/1	05Y2.5/1	0.251	0.2353	0.2	64	60	51	403C33
5	Y	2.5	2	Black	5Y 2.5/2	05Y2.5/2	0.2627	0.2314	0.1608	67	59	41	433B29
5	Y	3	1	Very Dark Gray	5Y 3/1	05Y3/1	0.2941	0.2784	0.2431	75	71	62	4B473E
5	Y	3	2	Dark Olive Gray	5Y 3/2	05Y3/2	0.3098	0.2784	0.2	79	71	51	4F4733
5	Y	4	1	Dark Gray	5Y 4/1	05Y4/1	0.3922	0.3765	0.3294	100	96	84	646054
5	Y	4	2	Olive Gray	5Y 4/2	05Y4/2	0.3922	0.3765	0.3294	100	96	84	646054
5	Y	4	3	Olive	5Y 4/3	05Y4/3	0.4235	0.3725	0.2392	108	95	61	6C5F3D
5	Y	4	4	Olive	5Y 4/4	05Y4/4	0.4353	0.3725	0.1882	111	95	48	6F5F30
5	Y	5	1	Gray	5Y 5/1	05Y5/1	0.4941	0.4745	0.4275	126	121	109	7E796D
5	Y	5	2	Olive Gray	5Y 5/2	05Y5/2	0.5059	0.4745	0.3804	129	121	97	817961
5	Y	5	3	Olive	5Y 5/3	05Y5/3	0.5216	0.4745	0.3333	133	121	85	857955
5	Y	5	4	Olive	5Y 5/4	05Y5/4	0.5333	0.4745	0.2824	136	121	72	887948
